🕘️更新时间,#genre#
CCTV10,http://125.43.241.91:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV11,http://220.231.188.200:8088/hls/13/index.m3u8
CCTV11,http://221.13.235.151:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.13.235.2:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.13.235.162:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.13.235.111:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.43.241.91:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://42.238.239.75:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://42.238.239.75:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://125.43.241.91:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV12,http://183.11.239.36:808/hls/30/index.m3u8
CCTV12,http://220.231.188.200:8088/hls/14/index.m3u8
CCTV12,http://221.13.235.2:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.13.235.111:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.13.235.151:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.13.235.162:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.116.254.184:9003/hls/13/index.m3u8
CCTV12,http://110.178.210.196:9003/hls/13/index.m3u8
CCTV12,http://125.43.241.91:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://125.43.241.91:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV13,http://220.231.188.200:8088/hls/15/index.m3u8
CCTV13,http://221.13.235.2:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.13.235.162:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.13.235.111:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.13.235.151:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://171.116.254.184:9003/hls/14/index.m3u8
CCTV13,http://125.43.241.91:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV13,http://42.238.239.75:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://42.238.239.75:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://125.43.241.91:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://183.11.239.36:808/hls/32/index.m3u8
CCTV14,http://221.13.235.151:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://221.13.235.111:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
